raw_name,source_field,status,type,count,examples,suggested_action
Herero Rebels,Loser,unmapped,unknown,2,Okaharui1904; Waterberg1904,add_actor_normalization
Honduran Rebels,Winner,unmapped,unknown,2,Tegucicalpa1894; Tegucicalpa1924,add_actor_normalization
Huerta Regime,Winner,mapped_internal,faction,2,Chihuahua1913; Satillo1913,check_internal_mapping
Incident,Winner,unmapped,unknown,2,Waima Incident1893; Yangzi Incident1949,add_actor_normalization
Indonesian Government,Winner,unmapped,unknown,2,Bukittingi1958; Manado1958,add_actor_normalization
Irish Rebels,Loser,unmapped,unknown,2,Balbriggan1920; Dublin1916,add_actor_normalization
Irish Rebels,Participant 2,unmapped,unknown,2,Bloody Sunday1920; Cork1920,add_actor_normalization
Kuwait,Loser,unmapped,unknown,2,Hamad1920; Kuwait1990,add_actor_normalization
Laos,Winner,unmapped,unknown,2,Lam Son1971; Luang Prabang1953,add_actor_normalization
Laotian Communists,Winner,unmapped,unknown,2,Nam Tha1962; Sala Phou Khoun1975,add_actor_normalization
Latvia,Winner,unmapped,unknown,2,Riga (1st)1917; Riga (2nd)1919,add_actor_normalization
Lebanese Christian Militia,Loser,unmapped,unknown,2,Beirut1978; Beirut1990,add_actor_normalization
Mahdists,Loser,unmapped,unknown,2,Atbara1898; Dakhila1898,add_actor_normalization
Mexican Government,Winner,mapped_internal,faction,2,Aguascalientes1915; Casas Grandes1911,check_internal_mapping
Mexican Rebels,Loser,mapped_internal,rebel_group,2,Casas Grandes1911; Rellano (2nd)1912,check_internal_mapping
Moro Rebels,Loser,unmapped,unknown,2,Mount Talipao1913; Pangpang1904,add_actor_normalization
Mujahideen,Winner,mapped_internal,rebel_group,2,Khost1991; Panjshir Valley1982,check_internal_mapping
Nama,Winner,unmapped,unknown,2,Hartebeestmund1905; Hornkranz1893,add_actor_normalization
Nationalists,Winner,mapped_internal,faction,2,Santander1937; Zhumadian1927,check_internal_mapping
NATO,Winner,unmapped,unknown,2,Kossovo1999; Operation Deliberate Force1995,add_actor_normalization
Oman,Winner,unmapped,unknown,2,Jebel Akhdar1971; Mirbat1972,add_actor_normalization
Omani Leftist Rebels,Loser,unmapped,unknown,2,Jebel Akhdar1958; Jebel Akhdar1971,add_actor_normalization
Omani Rebels,Loser,unmapped,unknown,2,Bait-al-Falaj1915; Mirbat1972,add_actor_normalization
Pancho Villa Rebels,Loser,unmapped,unknown,2,Aguascalientes1915; Naco1914,add_actor_normalization
Polisario,Winner,unmapped,unknown,2,Oum Droussa1977; Tan-Tan1979,add_actor_normalization
Republic of Formosa,Loser,unmapped,unknown,2,Baguashan1895; Keelung1895,add_actor_normalization
Republika Srpska,Winner,unmapped,unknown,2,Bosanska Posavina1992; Jajce1992,add_actor_normalization
Senussi Rebels,Loser,unmapped,unknown,2,Agagia1916; Al Khufrah1931,add_actor_normalization
Somali Islamist Rebels,Loser,unmapped,unknown,2,Erego1902; Jidballi1904,add_actor_normalization
Sumatran Rebels,Loser,unmapped,unknown,2,Bukittingi1958; Manado1958,add_actor_normalization
Syrian Druze Rebels,Loser,unmapped,unknown,2,Suwayda1925; Suwayda1926,add_actor_normalization
Tanzania,Winner,unmapped,unknown,2,Kagera1978; Kampala1979,add_actor_normalization
The Mahdiyya,Winner,unmapped,unknown,2,Debra Sina1887; Gallabat1889,add_actor_normalization
Uganda,Loser,unmapped,unknown,2,Kagera1978; Kampala1979,add_actor_normalization
United Nations,Winner,unmapped,unknown,2,Elizabethville1961; Heartbreak Ridge1951,add_actor_normalization
Venezuela,Winner,unmapped,unknown,2,La Victoria1902; Puerto Cabello1962,add_actor_normalization
Venezuela,Loser,unmapped,unknown,2,"San Pedro, Venezuela1892; Tocuyito1899",add_actor_normalization
Warlord Sun Zhuanfang,Loser,unmapped,unknown,2,Beijing1928; Nanchang1926,add_actor_normalization
Western Saharan Rebels,Winner,unmapped,unknown,2,El Ayoun1958; Lebouirate1979,add_actor_normalization
